City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,71.6,94,40,1.14,TO,1619269435
Coos Bay,43.3665,-124.2179,46.99,100,90,6.91,US,1619269680
Khatanga,71.9667,102.5,32.83,95,100,15.1,RU,1619269680
Atuona,-9.8,-139.0333,79.9,78,28,18.48,PF,1619269545
Māngrol,21.1167,70.1167,83.43,71,100,15.01,IN,1619269429
Puerto Ayora,-0.7393,-90.3518,77.0,95,14,3.0,EC,1619269455
Kruisfontein,-34.0033,24.7314,68.0,76,100,8.01,ZA,1619269681
Hohhot,40.8106,111.6522,64.4,27,20,8.95,CN,1619269681
Kapaa,22.0752,-159.319,73.4,78,40,16.11,US,1619269436
Bengkulu,-3.8004,102.2655,79.11,80,100,4.94,ID,1619269472
Richards Bay,-28.783,32.0377,70.39,86,96,17.69,ZA,1619269387
Tokur,53.1333,132.9,14.63,93,5,2.46,RU,1619269516
New Norfolk,-42.7826,147.0587,51.01,78,99,3.47,AU,1619269431
Iqaluit,63.7506,-68.5145,33.8,86,75,12.66,CA,1619269682
Gīdolē,5.65,37.3667,69.67,56,95,3.74,ET,1619269683
Dukat,62.55,155.55,-8.07,99,55,4.79,RU,1619269683
Coripata,-16.3,-67.6,48.2,66,20,9.22,BO,1619269683
Thompson,55.7435,-97.8558,10.4,79,75,3.69,CA,1619269467
Saskylakh,71.9167,114.0833,33.31,96,100,13.6,RU,1619269513
Uşak Province,38.5,29.4167,68.0,45,75,5.75,TR,1619269684
Rawson,-43.3002,-65.1023,54.39,63,0,5.91,AR,1619269575
Upernavik,72.7868,-56.1549,33.82,80,45,2.71,GL,1619269453
Busselton,-33.65,115.3333,61.0,78,2,4.0,AU,1619269433
Micheweni,-4.9667,39.8333,84.25,69,21,10.51,TZ,1619269684
Hong Kong,22.2855,114.1577,77.0,84,25,1.01,HK,1619269659
Kwang Binh,17.4833,106.6,80.33,88,24,11.18,VN,1619269685
